b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
303,226,211,2170890028,0.7260114526171618,0.7163765216842826,0.40625,0.6916780354706684,5,204.4450225038454,"[803.78, 698.41, 678.04]"
320,295,224,1793261039,0.7589285714285714,0.742445054945055,0.3875,0.69959266802444,5,201.53682582918555,"[827.23, 792.77, 695.69]"
330,232,349,3840417507,0.7764084084084084,0.7633833833833834,0.375,0.6902887139107612,5,209.4608237077482,"[841.06, 706.57, 867.39]"
353,285,186,1057013521,0.7562197870817405,0.7233696066038167,0.39375,0.6869244935543278,5,205.52998440572992,"[872.94, 779.03, 644.21]"
320,149,251,2142348911,0.7271701795472287,0.7114452487403307,0.41875,0.6740619008490825,5,201.0006545567885,"[827.23, 594.4, 732.47]"
302,158,221,415668018,0.7709249084249084,0.7576312576312576,0.3625,0.7132429614181439,5,206.84171321382746,"[802.41, 606.48, 691.61]"
364,230,225,281959755,0.7736025405444937,0.7496079808178706,0.38125,0.6875806868060934,5,205.21098568011075,"[888.23, 703.85, 697.05]"
270,331,45,235406096,0.728405572755418,0.7322973723902516,0.45,0.6555217831813576,5,206.2830467238091,"[758.46, 842.44, 456.09]"
317,312,154,152103685,0.7254181903891206,0.6951171471520309,0.48125,0.6461994978315453,5,203.85183724807575,"[823.09, 816.19, 601.11]"
390,188,222,1258032650,0.7654901444272868,0.7474613195264481,0.3625,0.7297297297297297,5,204.78815445071086,"[924.49, 646.91, 692.97]"
390,186,250,3066119504,0.7975407925407925,0.7740675990675991,0.35,0.7139989964877069,5,202.80056073283777,"[924.49, 644.21, 731.11]"
323,332,306,2683507449,0.6264392704554196,0.6294369367028078,0.61875,0.5251331943479267,5,200.5761449788697,"[831.38, 843.83, 807.92]"
350,214,0,2382882275,0.5883281378178835,0.5674651353568498,0.7375,0.4243577545195052,5,204.89116247883067,"[868.78, 682.11, 397.01]"
326,136,221,3723168829,0.7181763285024154,0.7180648457822371,0.45625,0.6717112922002328,6,204.9243265101686,"[835.53, 576.97, 691.61]"
339,252,224,1308665594,0.7545243413396081,0.7472974050977971,0.375,0.7256857855361596,6,205.0911078369245,"[853.52, 733.84, 695.69]"
347,273,223,1768218013,0.7931464646464647,0.7727441077441077,0.3125,0.7809152872444012,6,202.186653485056,"[864.61, 762.57, 694.33]"
336,252,225,1721289312,0.7710001729268591,0.7424796270544072,0.38125,0.7024834029997541,6,204.31059977179393,"[849.36, 733.84, 697.05]"
386,177,261,3403286015,0.7146831364124597,0.7089252148227712,0.49375,0.5982031444971301,6,203.68033382715657,"[918.9, 632.06, 746.14]"
367,239,227,3588254549,0.719693396226415,0.7047955974842767,0.525,0.5556640625,6,203.8837421280332,"[892.41, 716.1, 699.77]"
428,287,0,947854972,0.4947739362861168,0.46316157991836027,0.85625,0.3743041638833222,6,202.9949001101777,"[977.76, 781.78, 397.01]"
231,229,337,4269115459,0.7244226512743173,0.7157214169207344,0.45625,0.6409741400954054,6,202.22846970241517,"[705.21, 702.49, 850.75]"
275,255,226,3509797444,0.7268262064401025,0.7152737718671074,0.40625,0.7109826589595376,6,203.9702734160237,"[765.31, 737.93, 698.41]"
390,133,219,3114026372,0.7327077059144597,0.7253134284039268,0.4,0.6919060052219321,6,205.31254838081077,"[924.49, 572.96, 688.9]"
339,232,353,3952433143,0.7273449902131529,0.7367280335372901,0.4375,0.6786389413988657,6,203.82126612309366,"[853.52, 706.57, 872.94]"
